budget_fraction,profit_target,trend_1w,regime
1.0,0.0,-0.28386634588241577,sideways
1.0,0.0,-0.3736698031425476,sideways
1.0,0.0,-0.4341440796852112,sideways
1.0,0.0,-0.3905714154243469,sideways
1.0,0.0,-0.298256516456604,sideways
1.0,0.0,-0.43955034017562866,sideways
1.0,0.0,-0.5741642117500305,bear
1.0,0.0,-3.171689033508301,bear
1.0,0.0,-3.2241744995117188,bear
0.7583533525466919,0.0,-3.996239423751831,bear
0.9777826189994812,0.0,-3.875514030456543,bear
1.0,0.0,-3.3301303386688232,bear
0.9053567528724671,0.0,-3.314793348312378,bear
1.0,0.0,-3.178804636001587,bear
1.0,0.0,-3.0066580772399902,bear
1.0,0.0,-3.0644278526306152,bear
1.0,0.0,-2.968414068222046,bear
1.0,0.0,-3.019951820373535,bear
0.6389686584472656,0.0,-3.0402355194091797,bear
1.0,0.0,-3.0761046409606934,bear
0.7531939625740052,0.0,-3.516218423843384,bear
1.0,0.0,-2.998023509979248,bear
1.0,0.0,-3.0982627868652344,bear
0.6610909819602966,0.0,-3.239847183227539,bear
0.8303296804428101,0.0,-2.9395174980163574,bear
1.0,0.0,-2.9168801307678223,bear
0.9761829495429992,0.0,-2.802272319793701,bear
0.8159923076629638,0.0,-2.99408221244812,bear
0.7884803533554077,0.0,-2.944803476333618,bear
0.7643643975257873,0.0,-2.917616128921509,bear
0.7700815796852112,0.0,-2.8113415241241455,bear
0.6878901124000549,0.0,-2.599841356277466,bear
0.8263350129127502,0.0,-2.6321048736572266,bear
1.0,0.0,-2.0298008918762207,bear
1.0,0.0,-1.9654613733291626,bear
0.7263755202293396,0.0,-1.9363806247711182,bear
1.0,0.0,-1.6431331634521484,bear
1.0,0.0,-1.622599482536316,bear
1.0,0.0,-1.600309133529663,bear
1.0,0.0,-1.6464277505874634,bear
1.0,0.0,-1.6349982023239136,bear
1.0,0.0,-1.7246911525726318,bear
1.0,0.0,-1.6618636846542358,bear
1.0,0.0,-1.6940898895263672,bear
1.0,0.0,-1.453488826751709,bear
1.0,0.0,-1.2715115547180176,bear
1.0,0.0,-1.1637518405914307,bear
1.0,0.0,-1.200891137123108,bear
1.0,0.0,-1.1480926275253296,bear
1.0,0.0,-1.2489054203033447,bear
1.0,0.0,-1.0078742504119873,bear
1.0,0.0,-0.953010618686676,bear
1.0,0.0,-1.063737154006958,bear
1.0,0.0,-0.8412809371948242,bear
1.0,0.0,-0.4205062687397003,sideways
1.0,0.0,-0.3217599391937256,sideways
1.0,0.0,-0.36324992775917053,sideways
1.0,0.0,-0.5096644759178162,bear
1.0,0.0,-0.5719698071479797,bear
1.0,0.0,-0.6017488241195679,bear
1.0,0.0,-0.63718581199646,bear
1.0,0.0,-0.7273606657981873,bear
1.0,0.0,-0.5381695628166199,bear
1.0,0.0,-0.6360633969306946,bear
1.0,0.0,-0.5734851956367493,bear
1.0,0.0,-0.6740030646324158,bear
1.0,0.0,-0.6301582455635071,bear
1.0,0.0,-0.7647761106491089,bear
1.0,0.0,-1.2639353275299072,bear
1.0,0.0,-1.3376561403274536,bear
1.0,0.0,-1.509499430656433,bear
1.0,0.0,-1.4979654550552368,bear
1.0,0.0,-1.367344617843628,bear
1.0,0.0,-0.8658638596534729,bear
1.0,0.0,-1.262485146522522,bear
1.0,0.0,-1.3244506120681763,bear
1.0,0.0,-1.5562446117401123,bear
1.0,0.0,-1.3522813320159912,bear
1.0,0.0,-1.5746872425079346,bear
1.0,0.0,-1.905966877937317,bear
1.0,0.0,-1.7937458753585815,bear
1.0,0.0,-1.7029967308044434,bear
1.0,0.0,-1.5614351034164429,bear
1.0,0.0,-1.612867832183838,bear
1.0,0.0,-1.6982420682907104,bear
1.0,0.0,-1.5869325399398804,bear
1.0,0.0,-1.6340084075927734,bear
1.0,0.0,-1.574487328529358,bear
1.0,0.0,-1.7083823680877686,bear
1.0,0.0,-1.604324221611023,bear
1.0,0.0,-1.3639018535614014,bear
1.0,0.0,-1.4141268730163574,bear
1.0,0.0,-1.207683801651001,bear
1.0,0.0,-1.3109830617904663,bear
1.0,0.0,-1.2718874216079712,bear
1.0,0.0,-1.2733174562454224,bear
1.0,0.0,-0.905983567237854,bear
1.0,0.0,-0.9027493596076965,bear
1.0,0.0,-0.9662196636199951,bear
1.0,0.0,-0.9088923931121826,bear
1.0,0.0,-0.8935616612434387,bear
1.0,0.0,-0.9598658680915833,bear
1.0,0.0,-0.9703400135040283,bear
1.0,0.0,-1.0214571952819824,bear
1.0,0.0,-1.0498731136322021,bear
1.0,0.0,-0.6399856209754944,bear
1.0,0.0,-0.5605656504631042,bear
1.0,0.0,-0.6161991953849792,bear
1.0,0.0,-0.39580121636390686,sideways
1.0,0.0,-0.4713154137134552,sideways
1.0,0.0,-0.5438242554664612,bear
1.0,0.0,-0.5114140510559082,bear
1.0,0.0,-0.573015570640564,bear
1.0,0.0,-0.667618453502655,bear
1.0,0.0,-0.6473080515861511,bear
1.0,0.0,-0.6830487847328186,bear
1.0,0.0,-0.6091631650924683,bear
1.0,0.0,-0.6022564172744751,bear
1.0,0.0,-0.49532192945480347,sideways
1.0,0.0,-0.6092215180397034,bear
1.0,0.0,-0.47090259194374084,sideways
1.0,0.0,-0.2774182856082916,sideways
1.0,0.0,-0.5544841289520264,bear
1.0,0.0,-0.5806885361671448,bear
1.0,0.0,-0.5129604339599609,bear
1.0,0.0,-0.5849477648735046,bear
1.0,0.0,-0.27526190876960754,sideways
1.0,0.0,-0.2738632261753082,sideways
1.0,0.0,-0.8524450063705444,bear
1.0,0.0,-0.0895916298031807,sideways
1.0,0.0,-0.203740194439888,sideways
