buy_hi_coef,buy_lo_extra,sell_m_coef,sell_c_coef,trend_1w,regime
0.42756012082099915,0.027891233563423157,0.0,0.1581825613975525,-2.021899938583374,bear
0.43748754262924194,0.01682477444410324,0.0,0.12598401308059692,-2.3625855445861816,bear
0.43098965287208557,0.015556305646896362,0.0,0.14601755142211914,-2.041395902633667,bear
0.4380904734134674,0.020102448761463165,0.0,0.1366109848022461,-2.1471779346466064,bear
0.4277607500553131,0.03255609795451164,0.0,0.1511344313621521,-2.2096965312957764,bear
0.4346558749675751,0.011830836534500122,0.0,0.11533369868993759,-2.4650752544403076,bear
0.43883225321769714,0.018619991838932037,0.0,0.1180352121591568,-2.406559467315674,bear
0.43982699513435364,0.011484503746032715,0.0,0.09012777358293533,-2.644134759902954,bear
0.4488346576690674,0.031163714826107025,0.0,0.0841301903128624,-2.724416971206665,bear
0.4284248352050781,0.0,0.0,0.060994893312454224,-2.8342833518981934,bear
0.42111220955848694,0.0,0.0,0.07283350080251694,-2.816396951675415,bear
0.4339681565761566,0.013934686779975891,0.0,0.09519769996404648,-2.630181312561035,bear
0.41999825835227966,0.0,0.0,0.08749153465032578,-2.7477316856384277,bear
0.42336198687553406,0.001178540289402008,0.0,0.10667803883552551,-2.530747890472412,bear
0.426349014043808,0.0029463768005371094,0.0,0.07196250557899475,-2.9188356399536133,bear
0.42290470004081726,0.012313112616539001,0.0,0.11594963818788528,-2.4547481536865234,bear
